,origin_airport_id,delay_percent,Ranking
328,14814,28.108657757117957,214
72,11027,28.115593016255268,215
129,11699,28.122605363984675,216
367,15624,28.137201898239923,217
26,10431,28.27600985749491,218
151,12012,28.395820528580206,219
173,12323,28.415807161895934,220
357,15370,28.440620764059865,221
14,10257,28.442327125739858,222
89,11233,28.44677137870855,223
255,13871,28.485625343343713,224
110,11481,28.539622330337266,225
63,10874,28.54019917415594,226
283,14231,28.556263269639064,227
131,11775,28.579962960750343,228
73,11042,28.611439956111223,229
69,10994,28.63893246640331,230
207,12954,28.656816044176097,231
294,14321,28.702867275586335,232
353,15295,28.707677634716262,233
359,15380,28.71463368933858,234
162,12206,28.766430738119315,235
170,12266,28.78161516342673,236
346,15027,28.790882061446975,237
36,10581,28.798384973229176,238
183,12448,28.821301917412995,239
305,14576,28.83861396630285,240
209,12992,28.87738772174742,241
254,13851,28.9135202418351,242
57,10785,28.919831223628695,243
248,13577,28.96482663662536,244
123,11637,29.060645337335426,245
58,10792,29.11225590032347,246
341,14986,29.200564781819406,247
30,10529,29.38383905451165,248
7,10157,29.398280802292266,249
271,14098,29.438314944834502,250
295,14457,29.46600720932182,251
333,14869,29.57756466676956,252
145,11986,29.591908904448687,253
21,10372,29.593362236507698,254
182,12441,29.60201732266199,255
224,13244,29.614919049780603,256
1,10136,29.78326730365882,257
249,13795,29.79925650557621,258
87,11193,29.855843653250773,259
175,12339,29.932751604244633,260
323,14761,29.933579335793358,261
252,13830,29.954805892252708,262
38,10599,30.060753341433777,263
266,14025,30.09961022087484,264
76,11066,30.106937765061588,265
85,11146,30.18783542039356,266
292,14307,30.207232232847414,267
140,11953,30.289256198347108,268
259,13931,30.317240331858823,269
303,14570,30.32756231163517,270
301,14524,30.36067622452876,271
184,12451,30.385962854923115,272
345,15024,30.410566518141312,273
313,14685,30.511098211570886,274
270,14092,30.636030636030636,275
321,14730,30.668821030463672,276
272,14100,30.921253638220207,277
231,13342,31.067056204785754,278
214,13121,31.103948428686547,279
94,11278,31.152697896236635,280
253,13832,31.17469879518072,281
227,13277,31.206534937631087,282
304,14574,31.362031504617054,283
315,14696,31.38532545985203,284
13,10245,31.451612903225808,285
309,14635,31.631231177237378,286
125,11641,31.692273186049118,287
114,11540,31.711224329008875,288
111,11503,31.726315789473684,289
70,11003,31.75323421509944,290
325,14783,31.839870216623723,291
219,13198,31.90120711562897,292
143,11980,32.007487131492745,293
185,12478,32.05579789591546,294
12,10208,32.07400949336433,295
312,14683,32.12179693363354,296
372,16101,32.2593476531424,297
335,14893,32.38779043941001,298
28,10466,32.60056553862994,299
16,10275,32.61943986820428,300
206,12953,32.90649830774757,301
284,14237,32.990750256937304,302
211,13034,33.011049723756905,303
99,11336,33.13253012048193,304
330,14831,33.171900223923345,305
337,14908,33.18353567196548,306
286,14254,33.23000619962802,307
37,10590,33.33333333333333,308
42,10643,33.443708609271525,309
349,15070,33.73022925182158,310
230,13303,33.79246082168573,311
258,13930,34.109962252595054,312
260,13933,34.22701949860724,313
2,10140,34.36896418519949,314
161,12197,34.50188320019867,315
164,12223,34.59546925566343,316
322,14747,34.896814957547704,317
257,13891,34.91502683363149,318
299,14512,35.0210970464135,319
267,14027,35.02942666718634,320
22,10397,35.04841890946109,321
298,14492,35.22210460999379,322
25,10423,35.329414739939764,323
197,12892,35.35240795463621,324
311,14679,35.448335282171215,325
179,12391,35.63625627398878,326
354,15304,35.72355121848435,327
223,13241,35.72467280659234,328
48,10721,35.75155419243202,329
324,14771,35.78011665818481,330
190,12544,35.9915611814346,331
5,10154,36.103698055661454,332
75,11057,36.5954417942527,333
120,11618,36.63576357261395,334
169,12265,36.84210526315789,335
332,14843,37.269379882717374,336
96,11298,37.30878690857346,337
237,13388,37.56660746003552,338
59,10800,37.682145583695686,339
245,13495,37.723832217822476,340
336,14905,37.74104683195592,341
220,13204,38.32830388529304,342
291,14303,38.44689760182718,343
273,14107,38.59178305695036,344
46,10693,38.63560878093411,345
375,16869,38.995215311004785,346
128,11697,39.003558355498605,347
95,11292,39.21783480097223,348
348,15048,39.414325286901466,349
293,14314,39.671361502347416,350
342,15008,40.213523131672595,351
195,12889,40.233009942318915,352
288,14259,40.715268225584595,353
261,13964,40.82446808510639,354
356,15356,41.042112776588155,355
247,13541,41.09195402298851,356
108,11470,41.18150684931507,357
60,10821,41.67417417417417,358
44,10676,41.74852652259332,359
51,10732,43.04837952090183,360
343,15016,43.3087980371763,361
250,13796,44.285369655581945,362
154,12119,44.85981308411215,363
263,13983,45.23809523809524,364
203,12917,45.30438886267107,365
233,13347,46.47627821280516,366
9,10165,48.309178743961354,367
105,11445,50.469043151969984,368
282,14222,52.892561983471076,369
160,12191,53.19702192897012,370
91,11259,53.8215904408735,371
320,14716,54.882154882154886,372
222,13232,55.62263140430437,373
166,12250,56.97674418604651,374
251,13829,70.0,375
373,16133,100.0,376
